Title (long),Title
Currently not employed,Currently not employed
Data Administrator,Data Administrator
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Data Analyst
Data Architect,Data Architect
Data Engineer,Data Engineer
Data Scientist,Data Scientist
Developer Advocate,Developer Advocate
Engineer (non-software),Engineer (non-software)
Machine Learning/ MLops Engineer,ML/MLops Engineer
"Manager (Program, Project, Operations, Executive-level, etc)",Manager
Other,Other
Research Scientist,Research Scientist
Software Engineer,Software Engineer
Statistician,Statistician
Teacher / professor,Teacher/professor
